District,Administrative_Division,Key_Tourist_Places,Budget_Stay,Standard_Stay,Luxury_Stay
Mysuru,Mysuru,"Mysuru Palace, Chamundi Hills, Zoo, Brindavan Gardens",Hotel Mayura Hoysala (KSTDC),Hotel Roopa,Grand Mercure Mysore
Kodagu ,Mysuru,"Raja's Seat, Abbey Falls, Talakaveri, Dubare Elephant Camp",Treebo Doha King,The Fort Mercara,Coorg Wilderness Resort & Spa
Chamarajanagar,Mysuru,"Bandipur National Park, BR Hills, Gopalaswamy Hills",Bandipur Forest Dormitories,Hotel Mayura Biligiri (KSTDC),The Serai Bandipur
Mandya,Mysuru,"Srirangapatna Fort, Ranganathittu Bird Sanctuary, Shivanasamudra Falls",Hotel Mayura Riverview (KSTDC),Amblee Holiday Resort,Royal Orchid Brindavan Garden
Hassan,Mysuru,"Belur & Halebidu Temples, Shravanabelagola",Hotel Mayura Shantala,Hoysala Village Resort,Rosetta by Ferns (Sakleshpur)
Chikkamagaluru,Mysuru,"Mullayanagiri Peak, Baba Budangiri Hills, Kudremukh, Hebbe Falls",Zostel Homes Chikmagalur,Honeydewwz Exoticaa Hotel,The Gateway Hotel Chikmagalur
Dakshina Kannada,Mysuru,"Panambur Beach, Kadri Manjunath Temple, Kukke Subramanya",Adyar Plaza Inn,The Ocean Pearl,Vivanta Mangalore
Udupi,Mysuru,"Malpe Beach, St. Mary's Island, Sri Krishna Temple, Kapu Lighthouse",White Lotus Hotel,Paradise Isle Beach Resort,UVA Meridian Bay Resort
Belagavi,Belagavi,"Belagavi Fort, Gokak Falls, Kamala Basadi, Kittur Fort",Uday Bhuvan,Hotel EEFA,Fairfield by Marriott Belagavi
Uttara Kannada,Belagavi,"Gokarna Beaches, Murudeshwar Temple, Dandeli Rafting, Yana Caves",Zostel Gokarna,Arthigamya Spa & Resort,Kahani Paradise (Gokarna)
Bagalkote,Belagavi,"Badami Rock-Cut Caves, Pattadakal Temples, Aihole Heritage Site",Hotel Mayura Chalukya Badami,The Heritage Resort Badami,Krishna Heritage Hotel
Vijayapura,Belagavi,"Gol Gumbaz, Ibrahim Rauza, Jamma Masjid, Bara Kaman",Hotel Kanishka International,Hotel Pearl,The Fern Residency
Dharwad,Belagavi,"Unkal Lake, Nrupatunga Betta, Siddharoodha Math, Chandramouleshwara",Trupti International,The Hans Hotel,The Denisson Hotel
Gadag,Belagavi,"Trikuteshwara Temple, Lakkundi Monuments, Magadi Bird Sanctuary",Hotel Vishwa,Hotel Keerthi International,Sambhram Roost Resort
Haveri,Belagavi,"Siddheshwara Temple, Ranebennur Blackbuck Sanctuary, Utsav Rock Garden",Hotel Saffron,The Verda Prakyathi,Dwarakesh Residency
Bengaluru Urban,Bengaluru,"Bangalore Palace, Cubbon Park, Lalbagh, Tipu Sultan's Summer Palace",Zostel Bangalore,La Sara Hyland,The Leela Palace Bengaluru
Bengaluru Rural,Bengaluru,"Devanahalli Fort, Savandurga Monolith, Nrityagram Dance Village",White Field Comforts,Shreyas Yoga Retreat (Budget),Angsana Oasis Resort & Spa
Chikkaballapur,Bengaluru,"Nandi Hills Fortress, Bhoga Nandeeshwara Temple, Skandagiri Trek",Hotel Mayura Pine Top (KSTDC),Discovery Village Nandi Hills,JW Marriott Prestige Golfshire
Ramanagara,Bengaluru,"Sholay Hills, Janapada Loka Museum, Channapatna Toy Workshops",Hotel Mayura Sangama Mekedatu,Sky Blue Orchids,Shilhaandara Resort
Tumakuru,Bengaluru,"Devarayanadurga Hill, Siddaganga Math, Madhugiri Monolithic Fort",Hotel Sree Bhadra Comforts,Woodlands Hotel Tumkur,Nivriti Resort
Kolar,Bengaluru,"Kotilingeshwara Temple, Kolar Gold Fields (KGF), Antargange Caves",Hotel Sunrise,Siri Ambari Residency,Zion Hills Golf County
Chitradurga,Bengaluru,"Chitradurga Fort, Vani Vilas Sagara Dam, Chandravalli Caves",Hotel Mayura Yatri Chitradurga,Hotel Naveen Regency,Amogha International Hotel
Davanagere,Bengaluru,"Kunduvada Kere Lake, Kondajji Forest, Harihareshwara Temple",Hotel Alok,Hotel Pooja International,Southern Star Davanagere
Shivamogga,Bengaluru,"Jog Falls, Agumbe Rainforest, Keladi Temple, Kodachadri Peak",Hotel Green View,Sharavathi Adventure Camp (JLR),Royal Orchid Central
Kalaburagi,Kalaburagi,"Gulbarga Fort, Khwaja Bande Nawaz Dargah, Buddha Vihar",Hotel Santosh,Hotel Heritage Inn,The Fern Residency Kalaburagi
Yadgir,Kalaburagi,"Yadgir Hill Fort, Sleeping Buddha Hill range, Dhab Dhabi Waterfalls",Hotel Srikrishna,Hotel Remand International,Sagar Comforts
Bidar,Kalaburagi,"Bidar Fort, Mahmud Gawan Madrasa, Gurudwara Nanak Jhira Sahib",Hotel Kaveri,Hotel Mayura Barid Shahi,Blackbuck Resort (Jungle Lodges)
Raichur,Kalaburagi,"Raichur Fort, Mudgal Fort, Deosugur Temple",Hotel Priya,Hotel Santoshi Novotel,Nirvana Resort
Koppal,Kalaburagi,"Koppal Fort, Mahadeva Temple (Itagi), Anjanadri Hill (Anegundi)",Hotel Kishkinda Heritage,Leo Wooden Resort,Hampi's Boulders Resort
Ballari,Kalaburagi,"Ballari Fort, Mincheri Hills, Daroji Sloth Bear Sanctuary",Hotel Bala Regency,Hotel Royal Fort,Iskon Guest House Luxury Wing
Vijayanagara,Kalaburagi,"Virupaksha Temple, Vittala Temple Stone Chariot, Royal Enclosure",Clark's Inn Hampi,Heritage Resort Hampi,"Evolve Back, Hampi"
